Choose Break Down;Channel (paid/unpaid) (h1);Channel (h1);Measure Names;Date granularity;Registration Year;Measure Values
fr_FR;PAID;SEO;Call Price par Room Night;1;2025;95,345624243
fr_FR;PAID;SEO;Bkg per 100 leads Net;1;2025;2,213613724
fr_FR;PAID;SEO;Bookings;1;2025;640
fr_FR;PAID;SEO;TTV per lead Net;1;2025;44,648861322
fr_FR;PAID;SEO;TTV;1;2025;1290887,87853374
fr_FR;PAID;SEO;ROI;1;2025;39,370591424
fr_FR;PAID;SEO;CPL;1;2025;1,134066310
fr_FR;PAID;SEO;Costs;1;2025;32788,125141816
fr_FR;PAID;SEO;Leads Double Net;1;2025;28912
fr_FR;PAID;SEO;Hard Bounces;1;2025;428
fr_FR;PAID;SEO;Leads Double Gross;1;2025;29340
fr_FR;PAID;SEO;Call Price par Room Night;2;2025;93,608595034
fr_FR;PAID;SEO;Bkg per 100 leads Net;2;2025;2,529892433
fr_FR;PAID;SEO;Bookings;2;2025;548
fr_FR;PAID;SEO;TTV per lead Net;2;2025;45,677253601
fr_FR;PAID;SEO;TTV;2;2025;989414,990240848
fr_FR;PAID;SEO;ROI;2;2025;31,385919317
fr_FR;PAID;SEO;CPL;2;2025;1,455342223
fr_FR;PAID;SEO;Costs;2;2025;31524,167899646
fr_FR;PAID;SEO;Leads Double Net;2;2025;21661
fr_FR;PAID;SEO;Hard Bounces;2;2025;51
fr_FR;PAID;SEO;Leads Double Gross;2;2025;21711
fr_FR;PAID;SEO;Call Price par Room Night;3;2025;93,723394071
fr_FR;PAID;SEO;Bkg per 100 leads Net;3;2025;2,686539700
fr_FR;PAID;SEO;Bookings;3;2025;584
fr_FR;PAID;SEO;TTV per lead Net;3;2025;45,757728398
fr_FR;PAID;SEO;TTV;3;2025;994681,499910392
fr_FR;PAID;SEO;ROI;3;2025;28,449228259
fr_FR;PAID;SEO;CPL;3;2025;1,608399637
fr_FR;PAID;SEO;Costs;3;2025;34963,391304348
fr_FR;PAID;SEO;Leads Double Net;3;2025;21738
fr_FR;PAID;SEO;Hard Bounces;3;2025;31
fr_FR;PAID;SEO;Leads Double Gross;3;2025;21767
fr_FR;PAID;SEO;Call Price par Room Night;4;2025;94,583661933
fr_FR;PAID;SEO;Bkg per 100 leads Net;4;2025;2,053901892
fr_FR;PAID;SEO;Bookings;4;2025;394
fr_FR;PAID;SEO;TTV per lead Net;4;2025;37,668734356
fr_FR;PAID;SEO;TTV;4;2025;722599,331155097
fr_FR;PAID;SEO;ROI;4;2025;20,280044487
fr_FR;PAID;SEO;CPL;4;2025;1,857428586
fr_FR;PAID;SEO;Costs;4;2025;35631,052565967
fr_FR;PAID;SEO;Leads Double Net;4;2025;19183
fr_FR;PAID;SEO;Hard Bounces;4;2025;116
fr_FR;PAID;SEO;Leads Double Gross;4;2025;19297
fr_FR;PAID;SEO;Call Price par Room Night;5;2025;98,734445763
fr_FR;PAID;SEO;Bkg per 100 leads Net;5;2025;2,207891573
fr_FR;PAID;SEO;Bookings;5;2025;404
fr_FR;PAID;SEO;TTV per lead Net;5;2025;42,201536804
fr_FR;PAID;SEO;TTV;5;2025;772203,72043623
fr_FR;PAID;SEO;ROI;5;2025;21,687054363
fr_FR;PAID;SEO;CPL;5;2025;1,945932172
fr_FR;PAID;SEO;Costs;5;2025;35606,666885688
fr_FR;PAID;SEO;Leads Double Net;5;2025;18298
fr_FR;PAID;SEO;Hard Bounces;5;2025;106
fr_FR;PAID;SEO;Leads Double Gross;5;2025;18404
fr_FR;PAID;SEO;Call Price par Room Night;6;2025;100,962021181
fr_FR;PAID;SEO;Bkg per 100 leads Net;6;2025;2,204044535
fr_FR;PAID;SEO;Bookings;6;2025;388
fr_FR;PAID;SEO;TTV per lead Net;6;2025;46,499386597
fr_FR;PAID;SEO;TTV;6;2025;818575,201653656
fr_FR;PAID;SEO;ROI;6;2025;22,502064488
fr_FR;PAID;SEO;CPL;6;2025;2,066449797
fr_FR;PAID;SEO;Costs;6;2025;36377,782229274
fr_FR;PAID;SEO;Leads Double Net;6;2025;17604
fr_FR;PAID;SEO;Hard Bounces;6;2025;125
fr_FR;PAID;SEO;Leads Double Gross;6;2025;17729
fr_FR;PAID;SEO;Call Price par Room Night;7;2025;105,178344807
fr_FR;PAID;SEO;Bkg per 100 leads Net;7;2025;2,392692588
fr_FR;PAID;SEO;Bookings;7;2025;592
fr_FR;PAID;SEO;TTV per lead Net;7;2025;50,638333687
fr_FR;PAID;SEO;TTV;7;2025;1252893,65207905
fr_FR;PAID;SEO;ROI;7;2025;33,549313514
fr_FR;PAID;SEO;CPL;7;2025;1,509370189
fr_FR;PAID;SEO;Costs;7;2025;37344,837221124
fr_FR;PAID;SEO;Leads Double Net;7;2025;24742
fr_FR;PAID;SEO;Hard Bounces;7;2025;148
fr_FR;PAID;SEO;Leads Double Gross;7;2025;24889
fr_FR;PAID;SEO;Call Price par Room Night;8;2025;100,078305055
fr_FR;PAID;SEO;Bkg per 100 leads Net;8;2025;2,314449040
fr_FR;PAID;SEO;Bookings;8;2025;498
fr_FR;PAID;SEO;TTV per lead Net;8;2025;43,895616497
fr_FR;PAID;SEO;TTV;8;2025;944501,98015569
fr_FR;PAID;SEO;ROI;8;2025;26,846330668
fr_FR;PAID;SEO;CPL;8;2025;1,635069501
fr_FR;PAID;SEO;Costs;8;2025;35181,790458459
fr_FR;PAID;SEO;Leads Double Net;8;2025;21517
fr_FR;PAID;SEO;Hard Bounces;8;2025;132
fr_FR;PAID;SEO;Leads Double Gross;8;2025;21649
fr_FR;PAID;SEO;Call Price par Room Night;9;2025;94,984800485
fr_FR;PAID;SEO;Bkg per 100 leads Net;9;2025;2,273465411
fr_FR;PAID;SEO;Bookings;9;2025;350
fr_FR;PAID;SEO;TTV per lead Net;9;2025;41,454515174
fr_FR;PAID;SEO;TTV;9;2025;638192,261108305
fr_FR;PAID;SEO;ROI;9;2025;16,680951638
fr_FR;PAID;SEO;CPL;9;2025;2,485140900
fr_FR;PAID;SEO;Costs;9;2025;38258,744161842
fr_FR;PAID;SEO;Leads Double Net;9;2025;15395
fr_FR;PAID;SEO;Hard Bounces;9;2025;100
fr_FR;PAID;SEO;Leads Double Gross;9;2025;15495
fr_FR;PAID;SEO;Call Price par Room Night;10;2025;95,111154017
fr_FR;PAID;SEO;Bkg per 100 leads Net;10;2025;2,673626583
fr_FR;PAID;SEO;Bookings;10;2025;420
fr_FR;PAID;SEO;TTV per lead Net;10;2025;47,534155588
